time unit,x,y,z
1784180939,0.58796,-0.08364,0.0
1784180939,0.58829,-0.08323,0.0
1784180939,0.58851,-0.08326,0.0
1784180939,0.58846,-0.08366,0.0
1784180939,0.58823,-0.08391,0.0
1784180939,0.58806,-0.0841,0.0
1784180939,0.5879,-0.08437,0.0
1784180939,0.58684,-0.0777,0.0
1784180939,0.58842,-0.04108,0.0
1784180939,0.591,-0.0104,0.0
1784180940,0.59555,0.04973,0.0
1784180940,0.5985,0.07638,0.0
1784180940,0.60218,0.11023,0.0
1784180940,0.60613,0.14457,0.0
1784180940,0.60988,0.17568,0.0
1784180940,0.61506,0.21447,0.0
1784180940,0.61953,0.2472,0.0
1784180940,0.62401,0.28524,0.0
1784180940,0.63178,0.34012,0.0
1784180941,0.63645,0.37911,0.0
1784180941,0.64107,0.41526,0.0
1784180941,0.64355,0.43745,0.0
1784180941,0.64854,0.46485,0.0
1784180941,0.65021,0.48005,0.0
1784180941,0.65091,0.48734,0.0
1784180941,0.65149,0.49502,0.0
1784180941,0.65216,0.50171,0.0
1784180941,0.65344,0.50663,0.0
1784180941,0.65342,0.50939,0.0
1784180942,0.65327,0.50992,0.0
1784180942,0.65304,0.50858,0.0
1784180942,0.6525,0.50688,0.0
1784180942,0.65239,0.50651,0.0
1784180942,0.65251,0.50655,0.0
1784180942,0.65266,0.50687,0.0
1784180942,0.65277,0.5074,0.0
1784180942,0.65287,0.50772,0.0
1784180942,0.65292,0.50777,0.0
1784180942,0.65297,0.50781,0.0
1784180943,0.65302,0.50798,0.0
1784180943,0.65311,0.50824,0.0
1784180943,0.65315,0.50827,0.0
1784180943,0.65317,0.50825,0.0
1784180943,0.65321,0.50834,0.0
1784180943,0.65651,0.50741,0.0
1784180943,0.65663,0.50768,0.0
1784180943,0.65689,0.50813,0.0
1784180943,0.65692,0.50883,0.0
1784180943,0.6573,0.50818,0.0
1784180944,0.65693,0.50862,0.0
1784180944,0.65601,0.50912,0.0
1784180944,0.65674,0.50899,0.0
1784180944,0.65638,0.50998,0.0
1784180944,0.65569,0.51052,0.0
1784180944,0.65631,0.5102,0.0
1784180944,0.65539,0.50956,0.0
1784180944,0.65407,0.50965,0.0
1784180944,0.65409,0.51009,0.0
1784180944,0.65496,0.51009,0.0
1784180945,0.65315,0.50926,0.0
1784180945,0.65213,0.50947,0.0
1784180945,0.65279,0.5102,0.0
1784180945,0.65335,0.50909,0.0
1784180945,0.65199,0.50768,0.0
1784180945,0.65082,0.50565,0.0
1784180945,0.65139,0.5047,0.0
1784180945,0.65287,0.50455,0.0
1784180945,0.65499,0.50416,0.0
1784180946,0.65702,0.50435,0.0
1784180946,0.65845,0.50413,0.0
1784180946,0.65867,0.50401,0.0
1784180946,0.65778,0.50426,0.0
1784180946,0.65678,0.50454,0.0
1784180946,0.65679,0.50481,0.0
1784180946,0.65691,0.50499,0.0
1784180946,0.64617,0.50642,0.0
1784180946,0.60805,0.51219,0.0
1784180946,0.58307,0.51396,0.0
1784180947,0.55999,0.51636,0.0
1784180947,0.5258,0.51958,0.0
1784180947,0.50313,0.52182,0.0
1784180947,0.46962,0.52508,0.0
1784180947,0.43836,0.52731,0.0
1784180947,0.40985,0.53093,0.0
1784180947,0.37203,0.53482,0.0
1784180947,0.34312,0.53747,0.0
1784180947,0.30744,0.54019,0.0
1784180947,0.27202,0.54345,0.0
1784180948,0.24024,0.54696,0.0
1784180948,0.2011,0.55058,0.0
1784180948,0.16954,0.55352,0.0
1784180948,0.13289,0.55698,0.0
1784180948,0.11277,0.55928,0.0
1784180948,0.09956,0.56055,0.0
1784180948,0.0881,0.56179,0.0
1784180948,0.07749,0.56231,0.0
1784180948,0.06902,0.56337,0.0
1784180948,0.06247,0.56408,0.0
1784180949,0.05645,0.56462,0.0
1784180949,0.05096,0.56487,0.0
1784180949,0.04697,0.5651,0.0
1784180949,0.04381,0.56546,0.0
1784180949,0.04168,0.56578,0.0
1784180949,0.04098,0.56618,0.0
1784180949,0.04104,0.56627,0.0
1784180949,0.04094,0.56626,0.0
1784180949,0.04092,0.56625,0.0
1784180949,0.04099,0.56618,0.0
1784180950,0.04111,0.56611,0.0
1784180950,0.04125,0.56607,0.0
1784180950,0.0413,0.56606,0.0
1784180950,0.04139,0.56606,0.0
1784180950,0.04142,0.56608,0.0
1784180950,0.04168,0.56627,0.0
1784180950,0.04255,0.56892,0.0
1784180951,0.04187,0.56868,0.0
1784180951,0.04215,0.56765,0.0
1784180951,0.04203,0.56757,0.0
1784180951,0.04125,0.56853,0.0
1784180951,0.04026,0.56853,0.0
1784180951,0.04047,0.56764,0.0
1784180951,0.03964,0.56915,0.0
1784180951,0.03864,0.5684,0.0
1784180952,0.03788,0.56804,0.0
1784180952,0.03866,0.5679,0.0
1784180952,0.036,0.5684,0.0
1784180952,0.03518,0.56781,0.0
1784180952,0.03719,0.56733,0.0
1784180952,0.03753,0.56752,0.0
1784180952,0.03921,0.5671,0.0
1784180952,0.0397,0.56731,0.0
1784180953,0.04007,0.56736,0.0
1784180953,0.03985,0.56737,0.0
1784180953,0.03934,0.56782,0.0
1784180953,0.03901,0.56792,0.0
1784180953,0.03882,0.56802,0.0
1784180953,0.0388,0.56808,0.0
1784180953,0.03881,0.56811,0.0
1784180953,0.03827,0.56634,0.0
1784180953,0.03595,0.53942,0.0
1784180954,0.03196,0.50112,0.0
1784180954,0.02954,0.47849,0.0
1784180954,0.02743,0.44484,0.0
1784180954,0.02373,0.41213,0.0
1784180954,0.0207,0.38218,0.0
