time unit,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784180945,-0.00186,0.0274,-1.00254,-0.03168,-0.00285,0.81165
1784180945,0.00629,0.04517,-0.98942,0.0178,0.00457,0.6011
1784180945,-0.00282,0.05424,-1.00475,-0.00288,0.00402,0.06277
1784180945,-0.00502,0.02333,-1.00518,0.00254,0.00126,-0.00254
1784180945,-0.01083,0.00655,-1.00474,0.00238,0.0031,0.00814
1784180945,-0.0121,0.01529,-1.0049,0.00062,0.00191,0.00442
1784180946,-0.00128,0.01119,-1.00594,0.00162,0.0025,0.02159
1784180946,0.007,0.01494,-1.00624,0.00227,0.00202,0.00313
1784180946,0.00755,0.01067,-1.00526,0.00331,0.00402,0.00525
1784180946,-0.00413,0.01266,-1.00515,0.00205,0.00253,0.00359
1784180946,-0.01132,0.01258,-1.00501,0.0017,0.00287,0.00238
1784180946,-0.00884,0.01114,-1.00588,0.00417,0.00595,0.00198
1784180946,-0.03149,0.01137,-1.0043,0.003,0.00807,0.0021
1784180946,0.26205,-0.02404,-1.01363,0.04105,0.01838,-0.0928
1784180946,0.01211,0.03941,-1.00389,-0.02837,-0.03519,0.07829
1784180946,-0.1021,0.02828,-1.00933,-0.00804,0.00967,-0.00442
1784180947,0.21918,0.0331,-1.02494,-0.02822,-0.01293,-0.05913
1784180947,-0.18775,-0.03948,-1.02921,-0.04926,-0.04083,0.04407
1784180947,0.05885,0.01579,-1.01814,0.0148,0.00087,-0.00061
1784180947,0.04045,0.02388,-0.98437,0.0136,-0.03116,0.01385
1784180947,-0.12711,-0.00727,-1.01487,0.006,0.00487,0.01326
1784180947,0.15083,0.00851,-1.05474,-0.03888,0.04329,-0.00094
1784180947,-0.11349,-0.00309,-1.02715,-0.00118,-0.03158,-0.01814
1784180947,0.02438,0.04898,-1.01156,0.07114,0.00126,-0.01517
1784180947,0.0622,0.03333,-0.99774,-0.00502,-0.00529,-0.02737
1784180947,-0.09764,0.00685,-1.01733,-0.02697,0.00745,-0.00169
1784180948,0.11305,-0.00408,-0.96145,0.10621,0.05189,0.02527
1784180948,-0.05628,0.0276,-1.02067,-0.00907,0.00576,-0.00664
1784180948,-0.09926,-0.02286,-1.01406,-0.02283,-0.04508,0.04086
1784180948,-0.00822,0.03247,-0.98952,0.00089,-0.00095,-0.02879
1784180948,-0.08675,-0.00909,-1.00383,-0.02446,-0.01677,0.02029
1784180948,-0.0482,-0.01146,-1.02314,-0.03515,-0.00261,0.0408
1784180948,-0.00299,0.00318,-1.00887,-0.00931,-0.01542,0.01021
1784180948,-0.02734,0.02524,-1.00292,0.01779,-0.00287,-0.00854
1784180948,-0.02282,-2e-05,-1.00646,0.00504,-0.0002,-0.00338
1784180948,-0.02239,0.01552,-0.9982,0.00425,0.00026,-0.0053
1784180949,-0.01672,0.00894,-1.00465,0.0028,0.00976,0.00757
1784180949,-0.01004,0.0084,-1.00521,0.00064,0.00531,0.00215
1784180949,-0.02642,0.01239,-1.00493,0.00461,0.00029,0.00534
1784180949,-0.01637,0.00891,-1.00605,0.00119,-0.00026,0.00505
1784180949,-0.02022,0.01161,-1.00409,0.00426,0.00083,0.00273
1784180949,-0.01495,0.01167,-1.00434,0.00379,0.00158,0.00783
1784180949,-0.00601,0.01032,-1.0056,0.00461,0.00084,0.00207
1784180949,-0.00362,0.01031,-1.00531,0.00294,0.00102,0.00364
1784180949,-0.00497,0.00967,-1.0029,0.00273,0.0008,0.00331
1784180950,-0.00564,0.01166,-1.00327,0.00199,0.00332,0.00202
1784180950,-0.00735,0.01112,-1.00391,0.00255,0.00533,0.00366
1784180950,-0.00497,0.01296,-1.00465,0.0023,0.00364,0.00296
1784180950,-0.00547,0.01181,-1.00277,0.00414,0.00451,0.00254
1784180950,-0.00612,0.01069,-1.00391,0.00249,0.00536,0.00387
1784180950,-0.00511,0.01087,-1.00515,0.00381,0.00452,0.00489
1784180950,-0.0065,0.01187,-1.00522,0.00475,0.0026,0.00241
1784180950,0.00043,0.09087,-1.01242,0.02269,-0.05098,0.76804
1784180950,-0.00855,0.01494,-1.00208,0.00812,0.00273,0.70857
1784180951,0.01721,0.0535,-1.00703,-0.01057,0.00187,0.71607
1784180951,-0.01935,0.00273,-1.00101,0.01725,0.0048,0.78042
1784180951,-0.01593,-0.01545,-0.9848,0.04244,0.02158,0.78468
1784180951,0.01627,-0.00141,-1.00931,-0.0115,-0.02012,0.77479
1784180951,-0.00969,0.00575,-1.01273,0.04044,-0.01733,0.8077
1784180951,0.00089,0.01499,-1.00126,0.02013,0.00746,0.77257
1784180951,0.00221,0.01691,-0.99915,-0.00818,0.00744,0.73702
1784180951,0.02303,0.00574,-1.02042,-0.0065,-0.02391,0.79283
1784180951,-0.00396,0.00538,-1.02063,-0.01921,0.00761,0.7572
1784180952,0.0,0.01634,-1.01312,-0.02055,-0.00905,0.74914
1784180952,0.00956,-0.00096,-0.99156,0.01559,0.02545,0.73269
1784180952,0.00536,0.02549,-1.01082,-0.01751,-0.01204,0.77998
1784180952,-0.01448,0.02539,-0.99721,-0.02648,0.02076,0.75853
1784180952,0.00203,0.01551,-1.01356,-0.01058,0.00862,0.78574
1784180952,-0.00803,0.0066,-1.00132,-0.00107,-0.00468,0.82107
1784180952,0.03675,0.11645,-1.00324,-0.00545,0.01841,0.29331
1784180952,0.0023,0.05882,-1.00405,0.0052,0.00373,-0.02504
1784180952,-0.01067,0.0066,-1.0048,0.00327,-0.00056,0.00811
1784180953,-0.00637,0.01173,-1.00388,0.00344,0.00202,-0.00382
1784180953,-0.00729,0.00923,-1.00455,0.00501,0.00217,0.00678
1784180953,-0.00675,0.00963,-1.0042,0.00285,0.00022,0.00325
1784180953,-0.00796,0.0101,-1.00458,0.0026,0.00394,0.0005
1784180953,-0.006,0.01057,-1.00327,0.00377,0.00142,0.00434
1784180953,-0.00659,0.01023,-1.00463,0.00512,0.00033,0.00213
1784180953,-0.00672,0.01071,-1.00502,0.00392,0.00265,0.00259
1784180953,-0.00783,0.01066,-1.0047,0.00469,0.00625,0.00561
1784180953,0.14917,0.00779,-0.92834,0.13843,0.11664,0.00466
1784180953,0.22933,-0.05811,-1.01438,0.0049,0.00035,0.05797
1784180954,-0.19846,-0.00099,-0.98479,0.01647,-0.0261,0.08312
1784180954,0.05497,0.02057,-1.03479,-0.04934,-0.01709,0.01953
1784180954,0.07537,-0.02969,-0.94784,0.04391,-0.02675,-0.00959
1784180954,-0.10439,0.06619,-0.99185,0.01012,0.0135,-0.01412
1784180954,0.16107,0.02998,-1.03295,0.00657,0.01417,-0.0237
1784180954,-0.09498,0.04276,-0.95616,0.03938,-0.05614,-0.05117
1784180954,0.03703,0.0715,-0.99209,0.00504,0.02346,-0.01672
1784180954,0.03562,-0.00668,-1.02408,-0.0593,-0.04341,0.05175
1784180954,-0.10331,-0.03528,-0.98447,0.00235,0.03068,-0.00424
1784180954,0.10227,0.01136,-1.03195,0.0121,0.01069,0.01425
1784180955,-0.06626,0.03281,-0.97009,0.00355,-0.03814,-0.03496
1784180955,-0.01133,-0.01233,-1.05094,-0.00672,0.01377,0.04179
1784180955,-0.00589,0.01329,-1.00552,-0.0788,-0.00513,0.00043
1784180955,-0.20334,0.02869,-1.01454,-0.00757,0.0218,0.01966
1784180955,0.0941,-0.017,-0.99968,-0.02828,0.02412,0.02345
1784180955,-0.21541,-0.00179,-1.01457,-0.00533,-0.04243,0.02038
1784180955,-0.04766,0.03966,-1.00861,0.01073,-0.0285,-0.00471
1784180955,-0.0206,0.01977,-1.00247,0.00576,0.00496,0.00558
1784180955,-0.02217,0.03119,-0.99587,-0.00688,0.01408,-0.013
1784180955,-0.01607,0.00721,-1.00917,0.00205,0.00546,-0.00783
