time unit,yaw,pitch,roll
1784180943,83.79,-1.15,-3.41
1784180943,83.79,-1.15,-3.41
1784180943,83.79,-1.15,-3.41
1784180943,83.79,-1.15,-3.41
1784180943,83.79,-1.15,-3.41
1784180943,85.93,-1.08,-3.41
1784180943,89.53,-0.89,-3.46
1784180943,93.55,-0.68,-3.52
1784180943,97.73,-0.47,-3.58
1784180943,102.01,-0.24,-3.57
1784180944,106.3,0.02,-3.56
1784180944,110.75,0.23,-3.61
1784180944,115.23,0.5,-3.48
1784180944,119.64,0.69,-3.44
1784180944,124.13,0.9,-3.39
1784180944,128.55,1.19,-3.27
1784180944,133.01,1.41,-3.14
1784180944,139.74,1.68,-3.03
1784180944,144.24,1.95,-2.83
1784180944,148.65,2.02,-2.73
1784180945,153.2,2.16,-2.58
1784180945,157.66,2.35,-2.46
1784180945,162.07,2.49,-2.23
1784180945,166.59,2.62,-2.09
1784180945,171.09,2.66,-1.94
1784180945,173.86,2.76,-1.77
1784180945,174.12,2.75,-1.75
1784180945,174.13,2.74,-1.75
1784180945,174.13,2.73,-1.75
1784180945,174.15,2.72,-1.75
1784180946,174.23,2.71,-1.75
1784180946,174.22,2.71,-1.75
1784180946,174.22,2.7,-1.74
1784180946,174.22,2.7,-1.74
1784180946,174.22,2.7,-1.74
1784180946,174.22,2.7,-1.74
1784180946,174.29,2.85,-1.59
1784180946,173.82,2.84,-1.61
1784180946,174.23,2.71,-1.58
1784180947,174.26,2.76,-1.64
1784180947,174.34,2.58,-1.61
1784180947,174.25,2.72,-1.63
1784180947,174.25,2.62,-1.65
1784180947,174.19,2.61,-1.62
1784180947,174.2,2.81,-1.68
1784180947,174.18,2.7,-1.68
1784180947,174.17,2.81,-1.68
1784180947,174.21,2.85,-1.68
1784180947,174.19,2.84,-1.68
1784180948,174.2,2.92,-1.59
1784180948,174.19,2.82,-1.59
1784180948,174.24,2.76,-1.55
1784180948,174.21,2.81,-1.64
1784180948,174.2,2.71,-1.59
1784180948,174.22,2.72,-1.66
1784180948,174.25,2.74,-1.68
1784180948,174.24,2.72,-1.64
1784180948,174.22,2.72,-1.65
1784180948,174.21,2.67,-1.67
1784180949,174.18,2.68,-1.65
1784180949,174.19,2.69,-1.65
1784180949,174.22,2.7,-1.67
1784180949,174.2,2.71,-1.66
1784180949,174.2,2.7,-1.67
1784180949,174.2,2.7,-1.67
1784180949,174.2,2.7,-1.67
1784180949,174.2,2.7,-1.67
1784180949,174.2,2.71,-1.67
1784180949,174.2,2.7,-1.67
1784180950,174.2,2.7,-1.67
1784180950,174.2,2.7,-1.67
1784180950,174.2,2.7,-1.67
1784180950,174.2,2.71,-1.67
1784180950,174.2,2.71,-1.67
1784180950,174.2,2.71,-1.67
1784180950,174.92,2.72,-1.63
1784180950,178.94,2.73,-1.38
1784180950,-177.16,2.79,-1.19
1784180950,-173.08,2.82,-1.0
1784180951,-164.45,2.83,-0.55
1784180951,-160.03,2.85,-0.27
1784180951,-155.66,2.84,-0.07
1784180951,-151.12,2.78,0.22
1784180951,-146.68,2.74,0.55
1784180951,-137.77,2.57,0.94
1784180951,-133.19,2.47,1.18
1784180951,-128.78,2.36,1.33
1784180952,-124.28,2.19,1.46
1784180952,-119.82,2.0,1.6
1784180952,-115.33,1.88,1.77
1784180952,-110.84,1.7,1.8
1784180952,-106.42,1.46,1.87
1784180952,-95.77,0.99,2.07
1784180952,-95.77,0.98,2.07
1784180952,-95.78,0.98,2.07
1784180953,-95.77,0.98,2.07
1784180953,-95.77,0.98,2.08
1784180953,-95.77,0.98,2.08
1784180953,-95.76,0.98,2.08
1784180953,-95.77,0.98,2.08
1784180953,-95.77,0.98,2.08
1784180953,-95.77,0.98,2.08
1784180953,-95.76,1.11,2.17
1784180953,-96.04,1.15,2.25
1784180954,-95.75,0.91,2.25
1784180954,-95.67,0.95,2.15
1784180954,-95.72,0.83,2.29
1784180954,-95.74,0.75,2.23
1784180954,-95.73,0.76,2.22
1784180954,-95.78,0.57,2.19
1784180954,-95.76,0.59,2.08
1784180954,-95.74,0.58,2.09
1784180954,-95.78,0.61,2.14
1784180955,-95.79,0.48,2.17
1784180955,-95.74,0.52,2.26
1784180955,-95.75,0.46,2.2
1784180955,-95.67,0.41,2.15
1784180955,-95.81,0.43,2.15
1784180955,-95.75,0.31,2.08
1784180955,-95.76,0.34,2.05
1784180955,-95.74,0.33,2.05
1784180955,-95.68,0.28,1.98
1784180955,-95.7,0.3,2.0
1784180956,-95.74,0.3,2.06
1784180956,-95.75,0.37,2.07
1784180956,-95.72,0.38,2.05
1784180956,-95.62,0.41,2.05
1784180956,-95.64,0.43,2.06
1784180956,-95.64,0.48,2.07
1784180956,-95.62,0.49,2.06
1784180956,-95.64,0.5,2.06
1784180956,-95.64,0.49,2.06
